,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
0,1,1,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,03810,,813.7,문학 > 한국문학 > 소설,479,https://image.aladin.co.kr/product/19359/16/cover/s972635417_1.jpg,https://data4library.kr/bookV?seq=5430429
1,2,2,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,9791165341909,03810,,813.7,문학 > 한국문학 > 소설,404,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg,https://data4library.kr/bookV?seq=5707051
2,3,3,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,03810,,813.7,문학 > 한국문학 > 소설,395,https://image.aladin.co.kr/product/19804/82/cover/k072635131_1.jpg,https://data4library.kr/bookV?seq=5446546
3,4,4,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,03810,,813.7,문학 > 한국문학 > 소설,386,https://image.aladin.co.kr/product/24131/37/cover/8954672213_1.jpg,https://data4library.kr/bookV?seq=5674475
4,5,5,아몬드손원평 장편소설,손원평,창비,2017,9788936434267,03810,,813.7,문학 > 한국문학 > 소설,384,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg,https://data4library.kr/bookV?seq=3423096
5,6,6,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑,창비,2016,9788936434243,03810,,813.7,문학 > 한국문학 > 소설,330,https://bookthumb-phinf.pstatic.net/cover/113/062/11306271.jpg?type=m1&udate=20180117,https://data4library.kr/bookV?seq=3391014
6,7,7,목소리를 드릴게요 :정세랑 소설집 ,지은이: 정세랑,아작,2020,9791165300005,03810,,813.7,문학 > 한국문학 > 소설,328,https://image.aladin.co.kr/product/22246/11/cover/k842636722_1.jpg,https://data4library.kr/bookV?seq=5549987
7,8,8,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,03830,,833.6,문학 > 일본문학 > 소설,320,http://image.aladin.co.kr/product/15848/6/cover/k622533431_1.jpg,https://data4library.kr/bookV?seq=1902173
8,9,9,선량한 차별주의자 ,김지혜 지음,창비,2019,9788936477196,03300,,334,"사회과학 > 사회학, 사회문제 > 사회문제",301,https://image.aladin.co.kr/product/19874/76/cover/8936477196_1.jpg,https://data4library.kr/bookV?seq=5448422
9,10,9,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,03810,,813.7,문학 > 한국문학 > 소설,301,https://image.aladin.co.kr/product/24895/69/cover/k882632470_2.jpg,https://data4library.kr/bookV?seq=5738747
10,11,11,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,9788954641630,03810,,813.7,문학 > 한국문학 > 소설,298,https://bookthumb-phinf.pstatic.net/cover/107/859/10785953.jpg?type=m1&udate=20180717,https://data4library.kr/bookV?seq=3190615
11,12,12,일의 기쁨과 슬픔 :장류진 소설집 ,지은이: 장류진,창비,2019,9788936438036,03810,,813.7,문학 > 한국문학 > 소설,266,https://image.aladin.co.kr/product/21292/13/cover/8936438034_1.jpg,https://data4library.kr/bookV?seq=5508125
12,13,13,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ,마이클 샌델 지음 ;함규진 옮김,미래엔,2020,9791164136452,03300,,332.6,"사회과학 > 사회학, 사회문제 > 사회조직 및 제도",261,https://image.aladin.co.kr/product/25470/6/cover/k092633826_1.jpg,https://data4library.kr/bookV?seq=5791228
13,14,14,내게 무해한 사람 :최은영 소설 ,지은이: 최은영,문학동네,2018,9788954651820,03810,,813.7,문학 > 한국문학 > 소설,252,https://image.aladin.co.kr/product/15133/51/cover/8954651828_1.jpg,https://data4library.kr/bookV?seq=3774162
14,15,15,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,9788934972464,03900,,909,"역사 > 역사 > 세계사, 세계문화사",249,https://bookthumb-phinf.pstatic.net/cover/097/807/09780781.jpg?type=m1&udate=20180721,https://data4library.kr/bookV?seq=3027835
15,16,16,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,03810,,813.62,문학 > 한국문학 > 소설,242,http://image.aladin.co.kr/product/4086/97/cover/8936434128_2.jpg,https://data4library.kr/bookV?seq=2037399
16,17,17,(나를 숨 쉬게 하는) 보통의 언어들 ,김이나 지음,위즈덤하우스,2020,9791190786355,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,231,https://image.aladin.co.kr/product/24088/61/cover/k182639239_1.jpg,https://data4library.kr/bookV?seq=5671695
17,18,18,옥상에서 만나요 :정세랑 소설집 ,지은이: 정세랑,창비,2018,9788936437534,03810,,813.7,문학 > 한국문학 > 소설,226,https://image.aladin.co.kr/product/16234/13/cover/8936437534_1.jpg,https://data4library.kr/bookV?seq=5232202
18,19,19,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,03810,,813.6,문학 > 한국문학 > 소설,222,https://bookthumb-phinf.pstatic.net/cover/033/094/03309417.jpg?type=m1&udate=20180609,https://data4library.kr/bookV?seq=2155671
19,20,20,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,03810,,813.62,문학 > 한국문학 > 소설,220,https://image.aladin.co.kr/product/18936/52/cover/8998441071_1.jpg,https://data4library.kr/bookV?seq=5395822
20,21,21,보건교사 안은영 :정세랑 장편소설 ,지은이: 정세랑,민음사,2015,9788937473098,04810,,813.7,문학 > 한국문학 > 소설,216,http://image.aladin.co.kr/product/7164/35/cover/8937473097_1.jpg,https://data4library.kr/bookV?seq=3113956
21,22,22,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 ,"지은이: 한스 로슬링,옮긴이: 이창신",김영사,2019,9788934985068,03300,,331.1,"사회과학 > 사회학, 사회문제 > 사회학",215,https://image.aladin.co.kr/product/18456/45/cover/8934985062_1.jpg,https://data4library.kr/bookV?seq=5371595
22,23,22,12가지 인생의 법칙 :혼돈의 해독제 ,조던 B. 피터슨 지음 ;강주헌 옮김,메이븐,2018,9791196067694,03180,,199.1,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",215,https://image.aladin.co.kr/product/17215/26/cover/k442534993_1.jpg,https://data4library.kr/bookV?seq=5230775
23,24,24,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰 ,최태성 지음,다산북스,2019,9791130621968,03900,,904,"역사 > 역사 > 강연집, 사평",212,https://image.aladin.co.kr/product/19433/93/cover/k152635416_1.jpg,https://data4library.kr/bookV?seq=5428401
24,25,25,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,03810,,813.7,문학 > 한국문학 > 소설,211,http://image.aladin.co.kr/product/15533/81/cover/k852533629_1.jpg,https://data4library.kr/bookV?seq=3451595
25,26,26,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,"기시미 이치로,전경아 옮김",인플루엔셜,2014,9788996991342,13180,,189.2,철학 > 심리학 > 응용심리학 일반,200,https://bookthumb-phinf.pstatic.net/cover/083/399/08339910.jpg?type=m1&udate=20180616,https://data4library.kr/bookV?seq=2396926
26,27,27,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ,저자: 야쿠마루 가쿠 ;옮긴이: 김성미,Book plaza(북플라자),2017,9788998274795,03830,,833.6,문학 > 일본문학 > 소설,198,http://image.aladin.co.kr/product/10174/56/cover/s572533950_1.jpg,https://data4library.kr/bookV?seq=3411733
27,28,28,프리즘 :손원평 장편소설 ,지은이: 손원평,은행나무,2020,9791191071030,03810,,813.7,문학 > 한국문학 > 소설,197,https://image.aladin.co.kr/product/25044/86/cover/k782632029_1.jpg,https://data4library.kr/bookV?seq=5747854
28,29,29,여행의 이유 :김영하 산문 ,지은이: 김영하,문학동네,2019,9788954655972,03810,,816.62,"문학 > 한국문학 > 일기, 서간, 기행",196,https://image.aladin.co.kr/product/18827/60/cover/8954655971_2.jpg,https://data4library.kr/bookV?seq=5390731
29,30,30,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하,아작,2018,9791189015381,03810,,813.7,문학 > 한국문학 > 소설,193,https://image.aladin.co.kr/product/17531/63/cover/k062534304_1.jpg,https://data4library.kr/bookV?seq=5253241
30,31,31,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ,지은이: 이기주,말글터,2016,9791195522125,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,192,http://image.aladin.co.kr/product/14842/6/cover/k742532452_1.jpg,https://data4library.kr/bookV?seq=3278940
31,32,32,어린이라는 세계 :김소영 에세이 ,지은이: 김소영,사계절(사계절출판사),2020,9791160946918,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,191,https://image.aladin.co.kr/product/25509/75/cover/k132633125_1.jpg,https://data4library.kr/bookV?seq=5795911
32,33,33,봉제인형 살인사건 :다니엘 콜 장편소설 ,저자: 다니엘 콜 ;옮긴이: 유혜인,Book plaza(북플라자),2017,9788998274931,03840,,843.6,문학 > 영미문학 > 소설,190,https://image.aladin.co.kr/product/11997/87/cover/8998274930_1.jpg,https://data4library.kr/bookV?seq=3649594
33,34,34,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,03810,,813.7,문학 > 한국문학 > 소설,180,http://image.aladin.co.kr/product/7492/9/cover/8956609950_2.jpg,https://data4library.kr/bookV?seq=3151708
34,35,34,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ,팀 페리스 지음 ;정지현 옮김,Tornado(토네이도),2017,9791158510619,03190,,325.211,사회과학 > 경제학 > 경영관리,180,http://image.aladin.co.kr/product/10590/57/cover/k162530537_1.jpg,https://data4library.kr/bookV?seq=3423727
35,36,34,나의 하루는 4시 30분에 시작된다 :하루를 두 배로 사는 단 하나의 습관 ,김유진 지음,Tornado(토네이도),2020,9791158511906,03190,,325.211,사회과학 > 경제학 > 경영관리,180,https://image.aladin.co.kr/product/25306/49/cover/k922633306_1.jpg,https://data4library.kr/bookV?seq=5778871
36,37,34,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,03810,,813.7,문학 > 한국문학 > 소설,180,https://image.aladin.co.kr/product/23736/85/cover/k692639764_1.jpg,https://data4library.kr/bookV?seq=5650149
37,38,38,죽은 자의 집 청소 ,김완 지음,김영사,2020,9788934992493,03810,,334.904,"사회과학 > 사회학, 사회문제 > 사회문제",179,https://image.aladin.co.kr/product/24131/85/cover/8934992492_1.jpg,https://data4library.kr/bookV?seq=5676032
38,39,38,미라클모닝 :당신의 하루를 바꾸는 기적 아침 6분이면 충분하다 ,할 엘로드 지음 ;김현수 옮김,한빛비즈,2016,9791157841110,13320,,199.1,"철학 > 윤리학, 도덕철학 > 도덕훈, 교훈",179,http://image.aladin.co.kr/product/7747/73/cover/s552532081_1.jpg,https://data4library.kr/bookV?seq=3120729
39,40,40,"자존감 수업 :하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련 ",윤홍균 지음,심플라이프,2016,9791186757093,03190,,182.1,철학 > 심리학 > 차이심리학,176,http://image.aladin.co.kr/product/8679/31/cover/k372535696_1.jpg,https://data4library.kr/bookV?seq=3320490
40,41,41,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,03190,,181.845,철학 > 심리학 > 각론,173,https://image.aladin.co.kr/product/18228/51/cover/k832534441_1.jpg,https://data4library.kr/bookV?seq=5368180
41,42,42,죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 ,지은이: 백세희,흔,2018,9791196394509,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,172,https://image.aladin.co.kr/product/15136/29/cover/k962533360_1.jpg,https://data4library.kr/bookV?seq=3768386
42,43,43,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ,글·그림: 김수현,마음의숲,2016,9791187119845,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,169,http://image.aladin.co.kr/product/16751/86/cover/k642534567_2.jpg,https://data4library.kr/bookV?seq=3395679
43,44,44,가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,2014,9788990982575,03830,,833.6,문학 > 일본문학 > 소설,165,http://image.aladin.co.kr/product/4745/51/cover/899098257x_2.jpg,https://data4library.kr/bookV?seq=2427470
44,45,45,우리가 사랑한 내일들 :유선애 인터뷰집 ,지은이: 유선애,한겨레출판,2021,9791160404531,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,164,https://image.aladin.co.kr/product/26179/16/cover/k952737453_1.jpg,https://data4library.kr/bookV?seq=5852199
45,46,46,기분이 태도가 되지 않게 :기분 따라 행동하다 손해 보는 당신을 위한 심리 수업 ,레몬심리 지음 ;박영란 옮김,웅진씽크빅,2020,9788901243658,03180,,181.71,철학 > 심리학 > 각론,162,https://image.aladin.co.kr/product/24368/89/cover/8901243652_1.jpg,https://data4library.kr/bookV?seq=5698929
46,47,46,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,03810,,813.7,문학 > 한국문학 > 소설,162,http://image.aladin.co.kr/product/14224/40/cover/k872532537_1.jpg,https://data4library.kr/bookV?seq=3742540
47,48,48,날씨가 좋으면 찾아가겠어요 :이도우 장편소설 ,지은이: 이도우,시공사,2018,9788952791160,04810,,813.7,문학 > 한국문학 > 소설,160,https://image.aladin.co.kr/product/15411/84/cover/8952791169_1.jpg,https://data4library.kr/bookV?seq=3793737
48,49,49,하버드 상위 1퍼센트의 비밀 :신호를 차단하고 깊이 몰입하라 ,정주영 지음,한경BP,2018,9788947544085,03320,,325.211,사회과학 > 경제학 > 경영관리,159,https://bookthumb-phinf.pstatic.net/cover/140/880/14088087.jpg?type=m1&udate=20181012,https://data4library.kr/bookV?seq=5229065
49,50,50,비행운 :김애란 소설집 ,지은이: 김애란,문학과지성사,2012,9788932023151,03810,,813.7,문학 > 한국문학 > 소설,155,http://image.aladin.co.kr/product/1801/21/cover/8932023158_1.jpg,https://data4library.kr/bookV?seq=1855307
50,51,51,여름의 빌라 :백수린 소설 ,지은이: 백수린,문학동네,2020,9788954673105,03810,,813.7,문학 > 한국문학 > 소설,154,https://image.aladin.co.kr/product/24489/98/cover/8954673104_1.jpg,https://data4library.kr/bookV?seq=5703910
51,52,52,해가 지는 곳으로 :최진영 장편소설 ,지은이: 최진영,민음사,2017,9788937473166,04810,,813.7,문학 > 한국문학 > 소설,151,http://image.aladin.co.kr/product/11281/18/cover/893747316x_1.jpg,https://data4library.kr/bookV?seq=3468676
52,53,52,이상한 정상가족 :자율적 개인과 열린 공동체를 그리며 ,김희경 지음,동아시아,2017,9788962622096,03330,,332.2,"사회과학 > 사회학, 사회문제 > 사회조직 및 제도",151,https://image.aladin.co.kr/product/12370/76/cover/s462532698_1.jpg,https://data4library.kr/bookV?seq=3663631
53,54,54,녹나무의 파수꾼 =The camphorwood custodian ,저자: 히가시노 게이고 ;옮긴이: 양윤옥,소미미디어,2020,9791165075064,03830,,833.6,문학 > 일본문학 > 소설,146,https://image.aladin.co.kr/product/23456/86/cover/k362638685_1.jpg,https://data4library.kr/bookV?seq=5609821
54,55,55,연년세세 :황정은 연작소설 ,지은이: 황정은,창비,2020,9788936434441,03810,,813.7,문학 > 한국문학 > 소설,145,https://image.aladin.co.kr/product/24790/60/cover/8936434446_1.jpg,https://data4library.kr/bookV?seq=5767518
55,56,56,일인칭 단수 :무라카미 하루키 소설 ,지은이: 무라카미 하루키 ;옮긴이: 홍은주,문학동네,2020,9788954675987,03830,,833.6,문학 > 일본문학 > 소설,142,https://image.aladin.co.kr/product/25638/33/cover/8954675980_2.jpg,https://data4library.kr/bookV?seq=5814186
56,57,56,당신이 옳다 :정혜신의 적정심리학 ,지은이: 정혜신,해냄,2018,9788965746669,03180,,189,철학 > 심리학 > 응용심리학 일반,142,http://image.aladin.co.kr/product/16938/73/cover/8965746663_1.jpg,https://data4library.kr/bookV?seq=3917073
57,58,56,어떤 물질의 사랑 :천선란 소설집 ,지은이: 천선란,아작,2020,9791165508340,03810,,813.7,문학 > 한국문학 > 소설,142,https://image.aladin.co.kr/product/24605/89/cover/k532631174_1.jpg,https://data4library.kr/bookV?seq=5708343
58,59,59,어른의 어휘력 :말에 품격을 더하고 세상을 올바르게 이해하는 힘 ,유선경 지음,앤의서재,2020,9791190710053,03800,,802.5,"문학 > 문학 > 문장작법, 수사학",141,https://image.aladin.co.kr/product/24779/29/cover/k102631725_1.jpg,https://data4library.kr/bookV?seq=5731697
59,60,60,부지런한 사랑 :이슬아 에세이 ,지은이: 이슬아,문학동네,2020,9788954675352,03810,,818,문학 > 한국문학 > 르포르타주 및 기타,140,https://image.aladin.co.kr/product/25349/60/cover/8954675352_1.jpg,https://data4library.kr/bookV?seq=5779951
60,61,61,"총, 균, 쇠 :무기, 병균, 금속 은 인류 의 운명 을 어떻게 바꿨는가 ",재레드 다이아몬드 지음 ;김진준 옮김,문학사상,2012,9788970127248,03900,,389,"사회과학 > 풍속, 민속학 > 민족학",139,http://image.aladin.co.kr/product/61/50/cover/8970127240_2.jpg,https://data4library.kr/bookV?seq=954778
61,62,62,명랑한 은둔자 ,지은이: 캐럴라인 냅 ;옮긴이: 김명남,바다출판사,2020,9791189932671,03840,,844,문학 > 영미문학 > 수필,138,https://image.aladin.co.kr/product/25072/55/cover/k332632851_1.jpg,https://data4library.kr/bookV?seq=5749164
62,63,63,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,03810,,813.7,문학 > 한국문학 > 소설,137,https://image.aladin.co.kr/product/19543/91/cover/8936437976_1.jpg,https://data4library.kr/bookV?seq=5435897
63,64,64,그 환자 ,지은이: 재스퍼 드윗 ;옮긴이: 서은원,해와달 출판그룹,2020,9791196756949,03840,,843.6,문학 > 영미문학 > 소설,136,https://image.aladin.co.kr/product/24817/53/cover/k262631039_1.jpg,https://data4library.kr/bookV?seq=5734791
64,65,65,트렌드 코리아 2021 :팬데믹 위기에 대응하는 전략은 무엇인가? ,"지은이: 김난도,한다혜",미래의창,2020,9788959896837,13320,,320.911,사회과학 > 경제학 > 경제학,134,https://image.aladin.co.kr/product/25208/12/cover/8959896837_2.jpg,https://data4library.kr/bookV?seq=5772083
65,66,65,매우 예민한 사람들을 위한 책 :뇌과학과 정신의학이 들려주는 당신 마음에 대한 이야기 ,전홍진 지음,글항아리,2020,9788967358020,03180,,186.3,철학 > 심리학 > 임상심리학,134,https://image.aladin.co.kr/product/24639/8/cover/8967358024_1.jpg,https://data4library.kr/bookV?seq=5710429
66,67,67,더 셜리 클럽 :박서련 장편소설 ,지은이: 박서련,민음사,2020,9788937473296,04810,,813.7,문학 > 한국문학 > 소설,133,https://image.aladin.co.kr/product/24944/10/cover/8937473291_1.jpg,https://data4library.kr/bookV?seq=5744567
